Expected,Actual,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/FictionalCharacter', 'http://dbpedia.org/ontology/SoapCharacter', 'http://dbpedia.org/ontology/Agent'}",0,2,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/MotorsportSeason', 'http://dbpedia.org/ontology/SportsSeason'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/PersonFunction', 'http://dbpedia.org/ontology/Profession'}",0,0,0,1,0,0,0,0,0,0,0,2
http://dbpedia.org/ontology/Person,{'http://dbpedia.org/ontology/PersonFunction'},0,127,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Person,"{'http://dbpedia.org/ontology/TelevisionStation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/PersonFunction,"{'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/EducationalInstitution'}",0,2,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Company'}",0,2,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Building', 'http://dbpedia.org/ontology/Castle'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Building'}",0,0,0,4,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/PowerStation'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Skyscraper', 'http://dbpedia.org/ontology/Building'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/CricketTeam', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/Dam', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/Hospital', 'http://dbpedia.org/ontology/building'}",0,1,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/EducationalInstitution'}",0,0,0,1,0,0,0,0,0,0,0,0
