Property,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
previousEvent,0,0,0,1,0,0,0,0,0,0,0,0
previousWork,1,0,0,3,0,1,0,0,1,0,0,0
primeMinister,0,0,0,0,0,0,0,0,0,0,1,0
principal,0,0,0,2,0,0,0,0,0,0,0,0
producer,0,351,0,7,0,0,0,0,0,0,0,0
productionCompany,0,16,0,10,0,1,0,0,0,0,0,0
projectParticipant,0,0,0,0,0,0,0,0,0,0,1,0
province,0,0,0,73,1,0,0,0,0,0,0,0
publisher,2,6,0,88,8,4,0,1,0,0,8,1
race,0,0,0,1,0,0,0,0,0,0,0,0
raceHorse,0,0,0,0,0,0,0,0,0,0,1,0
recordLabel,4,2,0,18,0,0,0,0,0,0,1,0
recordedIn,1,0,0,0,0,0,0,0,0,0,0,0
region,0,0,0,0,0,18,0,1,0,1,1,0
relation,0,17,0,0,5,0,0,0,0,0,0,0
relative,0,46,0,0,1,0,0,0,0,0,0,0
residence,0,1,0,0,0,0,0,0,0,0,0,0
restingPlace,2,38,0,0,0,0,0,0,0,0,0,0
river,2,0,0,45,0,0,0,0,0,0,0,0
riverBranchOf,0,0,0,1,0,0,0,0,0,0,0,0
riverMouth,0,0,0,3,0,0,0,0,0,0,0,0
routeEnd,0,1,0,176,0,0,0,0,0,0,0,0
routeEndLocation,0,0,0,1,0,0,0,0,0,0,0,0
routeJunction,0,1,0,47,0,0,0,0,0,0,0,0
routeStart,0,0,0,308,0,0,0,0,0,0,0,0
routeStartLocation,0,0,0,1,0,0,0,0,0,0,0,0
saint,0,4,0,0,0,0,0,0,0,0,0,0
school,0,0,0,29,0,0,0,0,0,0,0,0
secondCommander,0,1,0,0,0,0,0,0,0,0,0,0
significantBuilding,0,13,0,53,0,0,0,0,0,0,2,0
sire,1,0,0,0,0,0,0,0,0,0,0,0
sisterStation,0,0,0,3,0,0,0,0,0,0,0,0
specialist,1,0,0,0,0,1,0,0,0,10,0,0
species,1,0,58,0,0,0,0,0,0,131,0,22
spokenIn,0,0,0,40,0,2,0,0,0,0,0,0
sport,21,0,0,0,0,0,0,0,0,0,0,0
sportCountry,0,0,0,9,0,0,0,0,0,0,0,0
spouse,0,54,0,3,3,1,0,0,0,1,0,0
stadium,1,0,0,9,0,0,0,0,0,0,0,0
starring,1,456,1,1,0,0,0,0,1,0,0,0
stateOfOrigin,0,0,0,45,3,114,0,0,0,0,0,0
stylisticOrigin,0,0,0,4,0,3,0,0,0,0,0,0
subsequentWork,0,0,0,3,0,1,0,1,0,0,0,0
subsidiary,0,0,0,31,0,0,0,0,0,0,0,1
superintendent,0,0,0,0,0,0,0,0,0,1,0,0
targetAirport,0,0,0,50,0,0,0,0,0,0,0,0
team,0,16,0,128,17,0,0,0,0,3,0,0
tenant,78,0,0,0,0,0,0,0,0,0,0,0
territory,1,3,0,94,54,1,0,0,0,0,2,0
training,5,22,0,109,0,1,0,0,0,2,0,0
translator,0,1,0,1,0,8,0,0,0,0,0,0
twinCountry,0,0,0,1,0,0,0,0,0,0,0,0
university,1,0,0,0,0,0,0,0,0,0,0,0
usedInWar,0,0,0,2,54,0,0,0,0,0,0,0
usingCountry,0,0,0,2,0,0,0,0,0,0,4,0
veneratedIn,0,0,0,3,1,0,0,0,0,0,0,0
voice,0,0,0,0,0,3,0,0,0,0,0,0
wineRegion,0,0,0,14,0,0,0,0,0,0,1,0
writer,1,339,0,2,0,1,0,0,0,0,0,0
