Property,"anthropology, psychology and everyday life",arts,biology,geography,history,language and literature,mathematics,people,philosophy,physics,religion,society and social sciences,technology
diocese,0,10,0,421,56,0,0,11,0,0,1,0,0
director,0,4,0,3,0,0,0,4328,0,0,0,26,0
disbanded,0,0,0,0,1,0,0,0,0,0,0,0,0
discipline,0,103,0,0,0,0,1,15,0,5,0,1,197
discovered,0,0,0,0,0,0,0,0,0,9,0,0,0
discoverer,0,0,0,1,0,0,0,11,0,47,0,2,3
disease,0,0,215,0,3,0,0,0,0,0,0,0,0
diseasesDB,0,0,92,0,0,0,0,0,0,0,0,0,0
dissolutionDate,0,0,0,0,34,0,0,0,0,0,0,6,0
dissolutionYear,0,0,0,0,70,0,0,0,0,0,0,6,0
distanceToLondon,0,0,1,0,0,0,0,0,0,0,0,0,0
distributingCompany,0,0,0,25,0,0,0,0,0,0,0,9,0
distributingLabel,0,0,0,25,0,0,0,0,0,0,0,9,0
distributor,0,4,1,33,4,1,0,38,0,1,2,244,5
district,0,0,1,159,0,0,0,0,0,0,0,2,0
division,0,10,165,118,0,0,0,0,0,4,0,54,75
doctoralAdvisor,0,0,0,0,0,0,0,627,0,0,0,15,0
doctoralStudent,0,0,0,0,0,0,0,513,0,0,0,0,0
domain,0,0,117,0,0,0,0,0,0,0,0,0,0
draft,0,0,0,0,0,0,0,2,0,0,0,0,0
draftPick,0,0,0,0,0,0,0,9,0,0,0,0,0
draftRound,0,0,0,0,0,0,0,8,0,0,0,0,0
draftTeam,0,0,0,0,0,0,0,9,0,0,0,0,0
draftYear,0,0,0,0,0,0,0,12,0,0,0,0,0
drainsFrom,0,0,20,0,0,0,0,0,0,0,0,0,0
drugbank,0,0,0,0,0,0,0,0,0,4,0,0,0
duration,0,0,0,0,3,0,0,0,0,0,0,0,0
eMedicineSubject,1,0,70,0,0,0,0,0,0,0,0,1,0
eMedicineTopic,1,0,70,0,0,0,0,0,0,0,0,1,0
editing,0,5,0,0,0,0,0,457,0,0,0,0,0
editor,0,0,0,2,0,2,0,30,0,1,0,16,0
editorTitle,0,0,0,0,0,0,0,0,0,0,0,9,0
education,91,102,120,623,58,222,35,336,52,113,34,3070,290
educationSystem,0,0,0,1,0,2,0,0,0,0,0,8,0
electionDateLeader,0,0,0,0,0,0,0,0,0,0,0,2,0
elevation,0,3,0,369,1,0,0,0,0,1,0,0,9
elevatorCount,0,7,0,0,0,0,0,0,0,0,0,0,0
employer,1,68,1,89,32,5,0,91,0,1,4,1619,128
endDate,0,0,0,0,0,0,0,0,0,0,1,0,0
endingTheme,0,3,0,0,0,1,0,3,0,0,1,0,0
endowment,0,0,0,0,0,0,0,0,0,0,0,24,0
engine,0,0,0,0,0,0,0,0,0,69,0,0,135
engineer,0,2,0,0,0,0,0,1,0,0,0,0,0
epoch,0,0,0,0,0,0,0,0,0,16,0,0,0
equipment,0,154,17,0,0,0,0,0,0,1,0,1,46
equity,0,0,0,0,0,0,0,0,0,0,0,14,5
