Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Capitoline_Hill,0,5,0,0,0,5
Santiago_de_Compostela_Cathedral,0,2,0,0,0,2
Catherine_Palace,0,0,0,0,0,0
Cave_of_Altamira,100,1,0,0,100,1
Chartres_Cathedral,0,0,0,0,0,0
Cologne_Cathedral,75,8,100,2,67,6
Colosseum,0,0,0,0,0,0
Doge's_Palace,71,7,80,5,50,2
Eiffel_Tower,80,15,80,10,80,5
El_Escorial,33,15,80,5,10,10
Florence_Cathedral,56,18,78,9,33,9
Guggenheim_Museum_Bilbao,100,5,100,5,0,0
Hagia_Sophia,80,5,100,3,50,2
Hungarian_Parliament_Building,56,18,100,9,11,9
Cathedral_of_Our_Lady_of_Kazan,0,0,0,0,0,0
Leaning_Tower_of_Pisa,100,1,0,0,100,1
Milan_Cathedral,38,13,80,5,12,8
Mont-Saint-Michel,83,12,80,10,100,2
Kremlin,80,25,100,1,79,24
Mount_Athos_Monasteries,0,0,0,0,0,0
Mudéjar_architecture_of_Aragon,100,1,0,0,100,1
Notre-Dame_de_Paris,30,20,75,4,19,16
Neuschwanstein_Castle,83,6,83,6,0,0
Oslo_Opera_House,67,9,67,9,0,0
Palazzo_Pitti,0,31,0,0,0,31
Parthenon,78,9,78,9,0,0
Pantheon,0,0,0,0,0,0
Peterhof_Palace,67,3,0,0,67,3
Sanctuary_of_Our_Lady_of_Lourdes,0,0,0,0,0,0
Sagrada_Família,75,4,0,0,75,4
Saint_Basil's_Cathedral,100,1,0,0,100,1
St._Peter's_Basilica,7,135,22,18,5,117
Sistine_Chapel,0,22,0,0,0,22
Stonehenge,0,2,0,0,0,2
Topkapı_Palace,60,10,75,8,0,2
Palace_of_Versailles,34,177,100,5,32,172
Camino_de_Santiago,100,1,0,0,100,1
Wembley_Stadium,19,78,71,17,5,61
Palace_of_Westminster,74,27,64,11,81,16
Windsor_Castle,18,49,44,9,12,40
Winter_Palace,0,0,0,0,0,0
